Brazil,6,14,3,2,5,1,1,11,1,4,3,5,5,9,1,2,1,5,6,4
Germany,33,3,10,33,1,4,7,2,3,1,6,2,2,1,5,7,2,3,3,1
Italy,33,1,1,7,10,33,9,9,2,10,4,1,12,3,2,5,15,1,26,22
Argentina,2,10,33,33,33,13,10,5,33,8,1,11,1,2,10,6,18,6,5,2
Spain,33,5,33,4,33,33,13,10,33,33,10,12,7,10,8,17,5,9,1,23
England,33,33,33,8,6,11,8,1,8,33,33,6,8,4,33,9,6,7,13,26
France,7,11,6,33,11,3,33,13,33,33,12,4,3,33,33,1,28,2,29,7
Netherlands,33,9,14,33,33,33,33,33,33,2,2,33,33,15,7,4,33,11,2,3
Uruguay,1,33,33,1,4,33,12,7,4,13,33,33,16,16,33,33,26,33,4,12
Sweden,33,8,4,3,33,2,33,33,9,5,13,33,33,21,3,33,13,14,33,33
Russia,33,33,33,33,33,7,6,4,5,33,33,7,10,17,18,33,22,33,33,24
Serbia,4,33,33,5,7,5,4,33,33,7,33,16,33,5,33,10,33,32,23,33
Mexico,13,33,33,12,13,16,11,12,6,33,16,33,6,33,13,13,11,15,14,10
Belgium,11,15,13,33,12,33,33,33,10,33,33,10,4,11,11,19,14,33,33,6
Poland,33,33,11,33,33,33,33,33,33,3,5,3,14,33,33,33,25,21,33,33
Hungary,33,6,2,33,2,10,5,6,33,33,15,14,18,33,33,33,33,33,33,33
Portugal,33,33,33,33,33,33,33,3,33,33,33,33,17,33,33,33,21,4,11,18
Czech Republic,33,2,5,33,14,9,2,33,15,33,33,19,33,6,33,33,33,20,33,33
Austria,33,4,33,33,3,15,33,33,33,33,7,8,33,18,33,23,33,33,33,33
Chile,5,33,33,9,33,33,3,14,33,11,33,22,33,33,33,16,33,33,10,9
Switzerland,33,7,7,6,8,33,16,16,33,33,33,33,33,33,15,33,33,10,19,11
Paraguay,9,33,33,11,33,12,33,33,33,33,33,33,13,33,33,14,16,18,8,33
United States,3,16,33,10,33,33,33,33,33,33,33,33,33,23,14,32,8,26,12,15
Romania,8,12,9,33,33,33,33,33,11,33,33,33,33,12,6,11,33,33,33,33
Denmark,33,33,33,33,33,33,33,33,33,33,33,33,9,33,33,8,10,33,24,33
South Korea,33,33,33,33,16,33,33,33,33,33,33,33,20,22,20,30,4,17,15,27
Croatia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,3,23,22,33,19
Colombia,33,33,33,33,33,33,14,33,33,33,33,33,33,14,19,21,33,33,33,5
Costa Rica,33,33,33,33,33,33,33,33,33,33,33,33,33,13,33,33,19,31,33,8
Scotland,33,33,33,33,15,14,33,33,33,9,11,15,19,19,33,27,33,33,33,33
Cameroon,33,33,33,33,33,33,33,33,33,33,33,17,33,7,22,25,20,33,31,32
Nigeria,33,33,33,33,33,33,33,33,33,33,33,33,33,33,9,12,27,33,27,16
Bulgaria,33,33,33,33,33,33,15,15,13,12,33,33,15,33,4,29,33,33,33,33
Turkey,33,33,33,33,9,33,33,33,33,33,33,33,33,33,33,33,3,33,33,33
Japan,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,31,9,29,9,29
Ghana,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,13,7,25
Peru,10,33,33,33,33,33,33,33,7,33,8,20,33,33,33,33,33,33,33,33
Ireland,33,33,33,33,33,33,33,33,33,33,33,33,33,8,16,33,12,33,33,33
Northern Ireland,33,33,33,33,33,8,33,33,33,33,33,9,21,33,33,33,33,33,33,33
Ecuador,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,12,33,17
Algeria,33,33,33,33,33,33,33,33,33,33,33,13,22,33,33,33,33,33,28,14
Cote d'Ivoire,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,19,17,21
South Africa,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,17,33,20,33
Morocco,33,33,33,33,33,33,33,33,14,33,33,33,11,33,23,18,33,33,33,33
Norway,33,33,12,33,33,33,33,33,33,33,33,33,33,33,17,15,33,33,33,33
Australia,33,33,33,33,33,33,33,33,33,14,33,33,33,33,33,33,33,16,21,30
Senegal,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,7,33,33,33
East Germany,33,33,33,33,33,33,33,33,33,6,33,33,33,33,33,33,33,33,33,33
Greece,33,33,33,33,33,33,33,33,33,33,33,33,33,33,24,33,33,33,25,13
Saudi Arabia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,12,28,32,28,33,33
Ukraine,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,8,33,33
Tunisia,33,33,33,33,33,33,33,33,33,33,9,33,33,33,33,26,29,24,33,33
Wales,33,33,33,33,33,6,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Iran,33,33,33,33,33,33,33,33,33,33,14,33,33,33,33,20,33,27,33,28
Slovakia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,16,33
Slovenia,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,30,33,18,33
Cuba,33,33,8,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
North Korea,33,33,33,33,33,33,33,8,33,33,33,33,33,33,33,33,33,33,32,33
Bosnia and Herzegovina,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,20
Honduras,33,33,33,33,33,33,33,33,33,33,33,18,33,33,33,33,33,33,30,31
Jamaica,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,22,33,33,33,33
New Zealand,33,33,33,33,33,33,33,33,33,33,33,23,33,33,33,33,33,33,22,33
Angola,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,23,33,33
Israel,33,33,33,33,33,33,33,33,12,33,33,33,33,33,33,33,33,33,33,33
Egypt,33,13,33,33,33,33,33,33,33,33,33,33,33,20,33,33,33,33,33,33
Kuwait,33,33,33,33,33,33,33,33,33,33,33,21,33,33,33,33,33,33,33,33
Trinidad and Tobago,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,25,33,33
Bolivia,12,33,33,13,33,33,33,33,33,33,33,33,33,33,21,33,33,33,33,33
Iraq,33,33,33,33,33,33,33,33,33,33,33,33,23,33,33,33,33,33,33,33
Togo,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,30,33,33
Canada,33,33,33,33,33,33,33,33,33,33,33,33,24,33,33,33,33,33,33,33
Indonesia,33,33,15,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
United Arab Emirates,33,33,33,33,33,33,33,33,33,33,33,33,33,24,33,33,33,33,33,33
China,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,31,33,33,33
Haiti,33,33,33,33,33,33,33,33,33,15,33,33,33,33,33,33,33,33,33,33
DR Congo,33,33,33,33,33,33,33,33,33,16,33,33,33,33,33,33,33,33,33,33
El Salvador,33,33,33,33,33,33,33,33,16,33,33,24,33,33,33,33,33,33,33,33
